task_id,query,ground_truth,metric,task_description
question-generation_PersianQA,"پژو پارس یا پژو پرشیا خودرویی از محصولات ایران خودرو است. این خودرو فیس‌لیفت (تغییر چهره یافتهٔ) پژو ۴۰۵ است که در بازارهای اروپایی با نام پژو ۴۰۶ عرضه شد. به‌علاوه در آن زمان پژو ۶۰۵ نسخهٔ لوکس پژو ۴۰۵ محسوب می‌گردید و این دو طراحی مشترکی با پژو پارس دارند. این خودرو در زمان خودش به عنوان یک انقلاب در فیس‌لیفت‌های ایرانی شناخته می‌شود. خودرو پژو پارس با درابتدا با نام «پژو پرشیا» به بازار عرضه شد؛ چندی بعد ایران خودرو که قصد صادرات پارس به بازار عربستان را داشت، به دلیل عدم وجود حرف «پ» در زبان عربی و همچنین حساسیت اعراب به اسم «پرشیا» نام خودرو را به «پژو سفیر» تغییر داد. اما پس از اینکه این خودرو نتوانست مجوز صادرات به بازار عربستان را پاس کند، نامش به «پژو پارس» تغییر یافت. در خرداد ۹۹ بود که پس از متوقف شدن خط تولید پژو ۴۰۵ مدیر ایران خودرو پژو پارس را به عنوان جایگزین ۴۰۵ اعلام کرد. پیشرانهٔ موتور پژو پارس معمولی همان XU7JP پژو-سیتروئن است که در اروپا LFZ و در ایران ال۳ خوانده می‌شود.

چه زمانی پژو سفیر به پژو پارس تغییر اسم داد؟",خودرو نتوانست مجوز صادرات به بازار عربستان را پاس کند,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
question-generation_PersianQA,"باشگاه فوتبال بارسلونا که بیشتر بارسلونا یا به صورت مخفف بارسا شناخته می‌شود، یک باشگاه فوتبال حرفه‌ای اسپانیایی است که در شهر بارسلون در منطقهٔ کاتالونیای اسپانیا قرار دارد. بارسلونا باشگاهی ورزشی-اجتماعی با هزاران عضو بوده که تیم فوتبال بارسلونا بخشی از آن می‌باشد. تیم این باشگاه در لالیگا بازی می‌کند و جزو سه تیمی است که هرگز به دستهٔ پایین‌تر سقوط نکرده‌است. شهرت تاریخی تیم این باشگاه به‌دلیل شیوه حمله‌ای ماهرانه و جذابش بوده که تأکیدش را بر بازی باز قرار می‌دهد. این باشگاه با نام باشگاه فوتبال بارسلونا در سال ۱۸۹۹ توسط عده‌ای سوئیسی، انگلیسی و اسپانیایی و به رهبری خوان گمپر تأسیس شد. بارسا به نوعی، نهادی برای ترویج فرهنگ کاتالان و کاتالانیسم است و از این رو عبارت «فراتر از یک باشگاه» را به عنوان شعار خود انتخاب کرده‌است. سرود رسمی باشگاه، اثر جوزپ ماریا اسپیناس است که El Cant del Barça نام دارد. برخلاف بسیاری از تیم‌های جهان این باشگاه توسط هوادارانش اداره می‌شود. باشگاه بارسلونا با درآمد ۳۶۶ میلیون یورو در سال، دومین باشگاه ثروتمند جهان است.

تیم بارسلونا برای کدام کشور است؟",اسپانیا,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
question-generation_PersianQA,"تایم یک مجله خبری هفته‌نامه و روزنامه آنلاین آمریکایی است که در نیویورک مستقر شده و منتشر می‌شود. تایم نخستین بار در ۳ مارس ۱۹۲۳ در شهر نیویورک منتشر شد و سال‌ها توسط بنیانگذار مشترک و تأثیرگذار آن هنری لوس اداره می‌شد. هم‌اکنون سردبیر این مجله ادوارد فلسنتال است. مجله تایم به بررسی رویدادها در زمینه‌های سیاست، اقتصاد، هنر، مذهب، علم، ورزش، تجارت و علوم اجتماعی می‌پردازد. درآمد مجله تایم از طریق آگهی‌های بازرگانی تأمین می‌شود. تایم در بسیاری از کشورهای جهان چاپ می‌شود. ویرایش کانادایی آن به نام Time Canada چاپ تورنتو بود. چاپ این ویرایش از دسامبر ۲۰۰۸ متوقف شد. نسخه آسیایی آن با نام Time Asia در هنگ کنگ چاپ می‌شود. ویرایش دیگری از این مجله، ویژه کشورهای جنوب اقیانوس آرام بوده و رویدادهای مرتبط با استرالیا، نیوزیلند و جزایر اقیانوس آرام را پوشش می‌دهد. این ویرایش در سیدنی انجام می‌شود. این مجله، رویدادهای خاورمیانه، آفریقا و از ۲۰۰۳ (میلادی) آمریکای لاتین را نیز پوشش می‌دهد. سَبک این مجله به شکل طنز است و دیدگاه‌های خود را با شوخی بیان می‌کند.

مجله تایم چگونه هزینه های خود را تامین می کند؟",از طریق آگهی‌های بازرگانی,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
question-generation_PersianQA,"بدگُمانی یا پارانویا  در تعریف عام آن، غریزه یا فرایندی از فکر است که تحت تأثیر اضطراب یا ترس به حالتی غیرمنطقی در می آید. افراد پارانوئید معمولاً فکر می‌کنند که دیگران برای آزار و اذیت آن‌ها می‌کوشند یا فکر می‌کنند که دیگران به دنبال توطئه علیه آن‌ها هستند. پارانویا با فوبیا تفاوت دارد. افرادی که دچار فوبیا هستند ترس غیر منطقی دارند، اما به خاطر ترس و اضطرابشان دیگران را سرزنش نمی‌کنند. وارد کردن اتهامات غیرواقعی و عدم اعتماد معمولاً از دیگر نشانه‌های پارانویا است. به عنوان مثال، حادثه ای که اکثر مردم به عنوان یک حادثه یا تصادف تلقی می‌کنند، از منظر یک فرد پارانوئید ممکن است توطئه تصور شود. دو شاخصه شناسایی توهمات پارانوئید (۱) آمادگی ذهنی پذیرش سست‌ترین شواهد در حمایت از باورهای غیرواقعی و (۲) عدم توانایی در تشخیص شواهد و ادله مستحکمی است که افکار پارانوید را رد می‌کند. پژوهش‌ها نشان می‌دهد که پارانویا با اعتقاد به تئوری‌های توطئه ارتباط مستقیم دارد. داده‌های ذهنی افرادی که دچار پارانویا هستند و افکارشان بر اساس توهم آزاربینی و باورهای غلط شکل می‌گیرد

پارانویا را توضییح دهید؟",غریزه یا فرایندی از فکر است که تحت تأثیر اضطراب یا ترس به حالتی غیرمنطقی در می آید,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
question-generation_PersianQA,"مریم یا مریم مقدس یا تئوتوکوس، یک زن یهودی در قرن اول میلادی بود که مطابق عهد جدید و نیز قرآن عیسی از او زاده شد. دو انجیل متی و لوقا و همچنین قرآن، مریم را در زمان زاییدن عیسی باکره توصیف کرده‌اند. کاتولیک‌ها برای مریم به عنوان مادر خدا جایگاهی والا قائل هستند اما پروتستان‌ها نقش او در مسیحیت را پررنگ نمی‌دانند. در اسلام مریم بلندمرتبه‌ترین زن عالم به شمار می‌رود و تنها زنی است که نامش در قرآن ذکر شده. مریم یک زن یهودی از شهر ناصره بود که در عهد جدید و قرآن، او مادر عیسی معرفی شده‌است. به روایت مسلمانان دختر عمران، از نسل هارون و از طایفهٔ لاوی بود ولی به روایت مسیحیان وی از لاوی نبود بلکه نسبش به داوود پادشاه می‌رسید و از طایفه یهودا بود. نام مادرش، حنا بود که خاله‌اش - در روایت‌های مسیحی دختر خاله - الیصابات، همسر زکریا بود. مریم در ناصره شهری در جلیل متولّد شد. به روایت قرآن در زمان تولّد مریم، پدرش عمران کشته شده بود. به روایت قرآن، همسر عمران، در هنگام بارداری، آنچه در رحم داشت، برای خدمت در بیت المقدّس نذر کرد.

نگاه دین اسلام به مریم چگونه است؟",بلندمرتبه‌ترین زن عالم به شمار می‌رود و تنها زنی است که نامش در قرآن ذکر شده,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
question-generation_PersianQA,"شاهنامه اثر حکیم ابوالقاسم فردوسی توسی، حماسه‌ای منظوم، بر حسب دست نوشته‌های موجود دربرگیرنده نزدیک به ۵۰٬۰۰۰ بیت تا نزدیک به ۶۱٬۰۰۰ بیت و یکی از بزرگ‌ترین و برجسته‌ترین سروده‌های حماسیِ جهان است که سرایش آن دست‌آوردِ دست‌کم سی سال کارِ پیوستهٔ این سخن‌سرای نامدار ایرانی است. موضوع این شاهکار ادبی، افسانه‌ها و تاریخ ایران از آغاز تا حملهٔ عرب‌ها به ایران در سدهٔ هفتم میلادی است (شاهنامه از سه بخش اسطوره، پهلوانی و تاریخی تشکیل شده‌است) که در چهار دودمان پادشاهیِ پیشدادیان، کیانیان، اشکانیان و ساسانیان گنجانده می‌شود. هنگامی که زبانِ دانش و ادبیات در ایران زبان عربی بود، فردوسی، با سرودن شاهنامه با ویژگی‌های هدف‌مندی که داشت، زبان پارسی را زنده و پایدار کرد. یکی از بن‌مایه‌های مهمی که فردوسی برای سرودن شاهنامه از آن استفاده کرد، شاهنامهٔ ابومنصوری بود. شاهنامه نفوذ بسیاری در جهت‌گیری فرهنگ فارسی و نیز بازتاب‌های شکوه‌مندی در ادبیات جهان داشته‌است و شاعران بزرگی مانند گوته و ویکتور هوگو از آن به نیکی یاد کرده‌اند.

شاهنامه برای کیه؟",حکیم ابوالقاسم فردوسی توسی,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
question-generation_PersianQA,"رونالدو ده آسیس موریرا (زادهٔ ۲۱ مارس ۱۹۸۰) که بیشتر با نام رونالدینیو یا رونالدینیو گائوچو شناخته می‌شود بازیکن فوتبال پیشین برزیلی است که در پست هافبک تهاجمی و یا مهاجم، برای تیم‌های باشگاهی مانند بارسلونا و آث میلان، و تیم ملی برزیل بازی می‌کرد. رونالدینیو را یکی از بهترین بازیکنان نسل خود و حتی تاریخ فوتبال می‌دانند که در سال‌های ۲۰۰۴ و ۲۰۰۵، دو بار متوالی از سوی فیفا به بازیکن سال فوتبال جهان برگزیده شد. رسانه ها به او لقب شاعر فوتبال را داده اند. رونالدینیو ابتدا فوتبال حرفه‌ای را در باشگاه گرمیو برزیل آغاز کرد و سپس در بیست سالگی به تیم پاری سن ژرمن فرانسه پیوست و نیز پس از درخشش در این تیم در سال ۲۰۰۳ به بارسلونا اسپانیا انتقال یافت. او در دومین فصل حضورش با بارسلونا به قهرمانی در لالیگا رسید و جایزه بازیکن سال فوتبال جهان را دریافت کرد. او همچنین در فصل بعدی حضورش در قهرمانی بارسلونا پس از ۱۴ سال در لیگ قهرمانان اروپا ۰۶–۲۰۰۵ و قهرمانی دوباره در لالیگا نقش زیادی داشت. رونالدینیو پس از به ثمر رساندن دو گل انفرادی دیدنی در بازی الکلاسیکو، تبدیل به دومین بازیکن پس از دیه‌گو مارادونا شد که در ورزشگاه سانتیاگو برنابئو مورد تشویق و تحسین تماشاگران رئال مادرید قرار می‌گیرد.

رونالدینیو در چه سالی بهترین بازیکن جهان شد؟",سال‌های ۲۰۰۴ و ۲۰۰۵,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
question-generation_PersianQA,"واتیکان  با نام رسمی دولت‌شهر واتیکان  دولت‌شهری مستقل است که در درون شهر رم در کشور ایتالیا جای دارد. واتیکان یک پادشاهی مطلقه است. واتیکان محل اقامت پاپ، رهبر کاتولیک‌های جهان و مرکز کلیسای کاتولیک است. واتیکان با مساحتی در حدود ۰٫۴۴ کیلومتر مربع، کوچکترین کشور دنیا و با جمعیتی در حدود ۱۰۰۰ نفر، کم‌جمعیت‌ترین کشور مستقل دنیا نیز محسوب می‌شود. واتیکان از سریر مقدس که نام حوزهٔ اسقف‌نشین این شهر است، متفاوت است. واتیکان دولت‌شهری مستقل است که در سال ۱۹۲۹ با توافق مقامات سریر مقدس و بنیتو موسولینی نخست‌وزیر ایتالیا بنیان نهاده شد، اما قدمت سریر مقدس به اوایل پیدایش مسیحیت می‌رسد. سریر مقدس عالی‌ترین اسقف‌نشین کلیسای کاتولیک و حکومت مرکزی کلیساهای کاتولیک به‌شمار می‌رود و در جامعهٔ بین‌المللی یک واحد مستقل واجد حاکمیت به‌شمار می‌رود که موضوع حقوق بین‌الملل است و در بسیاری از کشورها سفارتخانه و در بسیاری از سازمان‌های بین‌المللی عضویت دارد. سفرای این کشور و نمایندگان پاپ نیز به‌طور رسمی نماینده و سفیر سریر مقدس نامیده می‌شوند و نه دولت‌شهر واتیکان

جمعیت واتیکان چه اندازه است؟",حدود ۱۰۰۰ نفر,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
question-generation_PersianQA,"یونان (به یونانی: Ελλάδα, اِلادا) با نام رسمی جمهوری یونان (به یونانی: Ελληνική Δημοκρατία, اِلينيك ديموكراتيا) کشوری اوراسیایی واقع در جنوب شرقی اروپا و جنوب شبه جزیره بالکان است. این کشور همچنین جزایری در ساحل آسیای صغیر مانند رودس، جزیره کوس، ساموس، خیوس و لسبوس دارد و یک کشور اوراسیایی محسوب می‌شود. این کشور از شمال با آلبانی، مقدونیه شمالی و بلغارستان و از شرق با ترکیه دارای مرز مشترک زمینی است. سرزمین اصلی یونان در جنوب و شرق به وسیله دریای مدیترانه احاطه شده و از غرب به دریای یونان نزدیک است. پایتخت و بزرگترین شهر این کشور آتن و زبان رسمی آن یونانی است. یونان کشوری با ۱۰ میلیون نفر جمعیت و ۱۳۱٬۹۹۰ مساحت است. یونان دارای تاریخی بسیار طولانی و درخشان در عرصه جهانی است. این کشور به عنوان مهد تمدن مغرب زمین و زادبوم دموکراسی، فلسفه غرب، بازی‌های المپیک، علوم سیاسی، نمایشنامه‌نویسی «شامل هر دو نوع کمدی و تراژدی» قابل توجه است. یونان دارای تاریخی ویژه و پرحادثه و دارنده میراث فرهنگی است که به‌طور قابل توجهی دارای نفوذ در آفریقای شمالی و منطقه خاورمیانه است و ساختاری بنیادی برای فرهنگ اروپا و آنچه امروز به عنوان غرب خوانده می‌شود، به حساب می‌آید.

یونان چه نوع کشوری محسوب می شود؟",یک کشور اوراسیایی محسوب می‌شود,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
question-generation_PersianQA,"ماده سوختنی ماده‌ای است که در اثر تغییرات (معمولاً شیمیائی) تولید انرژی مفید می‌کند که بعداً می‌تواند تبدیل به انرژی مکانیکی شود. این تغییرات معمولاً با سوختن (یعنی ترکیب با اکسیژن) همراه است. فرایندهای مورد استفاده برای تبدیل سوخت به انرژی عبارتند از: واکنش‌های شیمیایی مختلف و گرمازا، واکنش‌های هسته‌ای مانند شکافت هسته‌ای یا گداخت هسته‌ای. هیدروکربن‌ها تا حد زیادی شایع‌ترین منبع سوخت مورد استفاده توسط انسان است، اما در بسیاری از موارد فلزات رادیو اکتیو نیز استفاده می‌شوند. اولین استفاده از سوخت توسط بشر ، احتراق و سوزاندن تکه های چوب در حدود 2 میلیون سال پیش توسط انسان راست قامت بود . به صورت کلی در طول تاریخ زندگی بشر که تا به حال با آن آشنا شده ایم ، تنها سوخت هایی که بیشترین استفاده را داشته است از گیاهان و یا چربی حیوانات بدست می آمده است و مورد استفاده انسان قرار گرفته است . انسان ها از 6000 سال قبل از میلاد مسیح برای ذوب آهن از زغال چوب و مشتقات چوب استفاده میکردند. بعد ها این سوخت ها جای خودشان را با کُک عوض کردند . به دلیل اینکه در حوالی قرن 18 جنگل های اروپا در حال نابودی بودند.

انرژی که از مواد سوختنی بدست میاد به چه انرژی می تونه تبدیل شه؟",انرژی مکانیکی,f1_score,The question generation task assesses the ability of models to generate meaningful questions based on a given passage and answer. This tests the contextual and semantic understanding of the models in Persian.
